Uuid,Void/Retire,Mappings|SAME-AS|OpenBoxes,Name,Concept Drug,Concept Dosage Form,Ingredient 1,Ingredient 1 Strength,Ingredient 1 Units,Ingredient 2,Ingredient 2 Strength,Ingredient 2 Units,Ingredient 3,Ingredient 3 Strength,Ingredient 3 Units,Ingredient 4,Ingredient 4 Strength,Ingredient 4 Units
74f565ce-c515-41b2-bbd4-29fc6416231b,,11397,"Fluconazole, 200mg capsule",CIEL:76488,Capsule,CIEL:76488,200,Milligram,,,,,,,,,
cf0037b9-f5a9-4f39-a287-a3e09f02557b,,10711,"Fluconazole, Powder for oral suspension, 10mg/mL, 35mL bottle",CIEL:76488,Bottle,CIEL:76488,,,,,,,,,,,
a26f9777-4972-46aa-9072-9fddabc2e688,,10478,"Flumazenil, Solution for injection, 100 microgram/mL, 5mL ampoule",CIEL:76500,Ampoule(s),CIEL:76500,,,,,,,,,,,
9e48c92a-9168-46ae-ac94-efdf0b458e13,,10591,"Fluorometholone, Eye drop, 0.1%, 3-5mL bottle",CIEL:76545,Bottle,CIEL:76545,,,,,,,,,,,
c3eccca0-91d4-11e8-9eb6-529269fb1459,,10592,"Fluorouracil, Solution for injection, 50mg/mL, 10mL vial",CIEL:76550,Vial,CIEL:76550,,,,,,,,,,,
7f7178bd-a1f8-44dd-85a9-02e49065e56b,TRUE,11473,"Fluoxetine hydrochloride, 20mg scored tablet",CIEL:76553,Tablet,CIEL:76553,20,Milligram,,,,,,,,,
6241e56b-ec9c-4c5b-a79c-1ce6481b1acb,,10370,"Folic acid, 5mg tablet",CIEL:76613,Tablet,CIEL:76613,5,Milligram,,,,,,,,,
2e454fbe-99f4-491f-9a89-9107c3293974,,11383,"Furosemide, Solution for injection, 10mg/mL, 2mL ampoule",CIEL:76734,Ampoule(s),CIEL:76734,,,,,,,,,,,
fb5842a2-60ef-4539-b428-f99a1f76c85f,,10892,"Furosemide, 40mg tablet",CIEL:76734,Tablet,CIEL:76734,40,Milligram,,,,,,,,,
214f8c89-0476-403c-a45e-e725a241394b,,10375,"Furosemide, Oral solution, 10mg/mL, 150mL bottle",CIEL:76734,Bottle,CIEL:76734,,,,,,,,,,,
86fa52bf-704d-4a0f-9b45-320740bc4098,,10585,"Gabapentin, 100mg capsule",CIEL:76750,Capsule,CIEL:76750,100,Milligram,,,,,,,,,
009b94f2-6c53-471c-aa7a-38d05257d71c,,11799,"Gabapentin, 400mg capsule",CIEL:76750,Capsule,CIEL:76750,400,Milligram,,,,,,,,,
ca4a470d-2b7f-4ff9-b543-6c59d579d6c5,,10104,"Plasma substitute, Gelatin 4%, 500mL bottle",CIEL:84388,Bottle,CIEL:84388,,,,,,,,,,,
a9330ce0-7369-41ea-98c7-1cda24a2afa2,,11460,"Gentamicin sulfate, Eye and Ear drop, 0.3%, 10mL bottle",CIEL:76942,Bottle,CIEL:76942,,,,,,,,,,,
b09cd1eb-b44d-40ca-af48-49c373c408ea,,10120,"Gentamicin, Solution for injection, 40mg/mL, 2mL ampoule",CIEL:100,Ampoule(s),CIEL:100,,,,,,,,,,,
480fc7de-cf17-489e-9182-5e315ed93b0c,,10634,"Gentian violet, Powder to be dissolved, 25 gram container",CIEL:76948,Container,CIEL:76948,,,,,,,,,,,
5c21704a-6268-4854-845d-55c573bed967,,10933,"Glibenclamide, 5mg tablet",CIEL:77071,Tablet,CIEL:77071,5,Milligram,,,,,,,,,
0435c900-6608-4bab-b136-0271adcaa719,,11631,"Glucagon hydrochloride, Powder for solution for injection, 1mg prefilled syringe with solvent",CIEL:77039,Syringe,CIEL:77039,,,,,,,,,,,
f63fdda4-6a47-4cd0-9a51-7a5404b65997,TRUE,11390,"Glutaraldehyde, 2% + activator, 5 liter can (1.3 gallon)",CIEL:77064,Can,CIEL:77064,,,,,,,,,,,
